name	hdr	cited-pid	twin-path	twin-pid	status	print
HeapReAlloc	include/Winbase.h	ms885661	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee488385.html	ee488385	twin-match	 | LPVOID HeapReAlloc(HANDLE, DWORD, LPVOID, DWORD)
HideCaret	include/Winuser.h	ms929210	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503185.html	ee503185	twin-match	 | BOOL HideCaret(HWND)
ImageList_AddMasked	include/Commctrl.h	ms909786	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503446.html	ee503446	twin-diff	ret: hdr='int' twin='int WINAPI' | int WINAPI ImageList_AddMasked(HIMAGELIST, HBITMAP, COLORREF)
ImageList_BeginDrag	include/Commctrl.h	ms909795	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee500766.html	ee500766	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_BeginDrag(HIMAGELIST, int, int, int)
ImageList_Copy	include/Commctrl.h	ms909799	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms909805.html	ms909805	twin-match	 | BOOL ImageList_Copy(HIMAGELIST, int, HIMAGELIST, int, UINT)
ImageList_Create	include/Commctrl.h	ms909805	/home/user/wince-docs-corpus/docs/mslearn/windows-ce-5.0/ms909810.html	ms909810	twin-diff	ret: hdr='HIMAGELIST' twin='HIMAGELIST WINAPI' | HIMAGELIST WINAPI ImageList_Create(int, int, UINT, int, int)
ImageList_DragEnter	include/Commctrl.h	ms909811	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee505711.html	ee505711	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_DragEnter(HWND, int, int)
ImageList_DragLeave	include/Commctrl.h	ms909812	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501729.html	ee501729	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_DragLeave(HWND)
ImageList_DragMove	include/Commctrl.h	ms909813	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503204.html	ee503204	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_DragMove(int, int)
ImageList_DragShowNolock	include/Commctrl.h	ms909814	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501254.html	ee501254	twin-diff	ret: hdr='BOOL' twin='BOOL WINAPI' | BOOL WINAPI ImageList_DragShowNolock(BOOL)
