id	title	kind	namespace	assembly	platforms	cf_supported
bb156326	FindItemParentType.AbsoluteDenominatorSpecified Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156516	MessageType.CcRecipients Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156542	FindFolderParentType.NumeratorOffset Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156545	FindItemParentType.NumeratorOffset Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb156546	MailUriHelper.GetChannelName Method  (Microsoft.ServiceModel.Channels.Mail)		Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb291916	MessageType.IsResponseRequested Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb291977	MailTransport.Faulted Event (Microsoft.ServiceModel.Channels.Mail)		Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292020	ServerVersionInfo.MajorBuildNumberSpecified Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292045	ItemType.IsDraftSpecified Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292057	MailTransport Class (Microsoft.ServiceModel.Channels.Mail)		Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292085	MailUriHelper.CreateUri Method (String, String[]) (Microsoft.ServiceModel.Channels.Mail)		Microsoft.ServiceModel.Channels.Mail	Microsoft.ServiceModel.Channels.Mail	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292108	BasePagingType.MaxEntriesReturnedSpecified Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292132	ExchangeServiceBinding Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292155	MailTransport Members (Microsoft.ServiceModel.Channels.Mail)					-
bb292180	AttachmentType.Name Property  (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
bb292196	SmartResponseBaseType Class (Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007)		Microsoft.ServiceModel.Channels.Mail.ExchangeWebService.Exchange2007	Microsoft.ServiceModel.Channels.Mail.ExchangeWebService	Windows CE, Windows Mobile for Smartphone, Windows Mobile for Pocket PC The .NET Framework and .NET Compact Framework do not support all versions of every platf	3.5
