id	title	kind	namespace	assembly	cf_supported	ce_generations	path
ms129017(v=vs.90)	DeviceId Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/AdapterDetails Structure/AdapterDetails Properties /DeviceId Property 
ms129018(v=vs.90)	DeviceIdentifier Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/AdapterDetails Structure/AdapterDetails Properties /DeviceIdentifier Property 
ms129631(v=vs.90)	DeviceLost Event	Event	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Device Class/Device Events/DeviceLost Event
ms129660(v=vs.90)	DeviceLostException Class	Class	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DeviceLostException Class
ms129662(v=vs.90)	DeviceLostException Constructor	Constructor	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DeviceLostException Class/DeviceLostException Constructor 
ms129667(v=vs.90)	DeviceNotResetException Class	Class	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DeviceNotResetException Class
ms129669(v=vs.90)	DeviceNotResetException Constructor	Constructor	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DeviceNotResetException Class/DeviceNotResetException Constructor 
ms129632(v=vs.90)	DeviceReset Event	Event	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Device Class/Device Events/DeviceReset Event
ms129633(v=vs.90)	DeviceResizing Event	Event	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Device Class/Device Events/DeviceResizing Event
ms129673(v=vs.90)	DeviceType Enumeration	Enumeration	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DeviceType Enumeration
ms129163(v=vs.90)	DeviceType Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Caps Structure/Caps Properties /DeviceType Property 
ms129655(v=vs.90)	DeviceType Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/DeviceCreationParameters Structure/DeviceCreationParameters Properties /DeviceType Property 
ms129903(v=vs.90)	Diffuse Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Light Class/Light Properties /Diffuse Property 
ms129927(v=vs.90)	Diffuse Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/LightFixed Class/LightFixed Properties /Diffuse Property 
ms129989(v=vs.90)	Diffuse Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Material Structure/Material Properties /Diffuse Property 
ms130022(v=vs.90)	Diffuse Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/MaterialFixed Structure/MaterialFixed Properties /Diffuse Property 
ms129904(v=vs.90)	DiffuseColor Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Light Class/Light Properties /DiffuseColor Property 
ms129928(v=vs.90)	DiffuseColor Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/LightFixed Class/LightFixed Properties /DiffuseColor Property 
ms130010(v=vs.90)	DiffuseColor Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/Material Structure/Material Properties /DiffuseColor Property 
ms130023(v=vs.90)	DiffuseColor Property	Property	Microsoft.WindowsMobile.DirectX.Direct3D	Microsoft.WindowsMobile.DirectX (in Microsoft.WindowsMobile.DirectX.dll)	3.5,2.0	CE6R3+;CE5.0/6.0	.NET Framework 3.5/General Reference for the .NET Framework/Additional Managed Reference Topics/Microsoft.WindowsMobile.DirectX.Direct3D Namespace/MaterialFixed Structure/MaterialFixed Properties /DiffuseColor Property 
