name	min_ce	versions	header	lib	in_include
phoneSetGain	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneSetHookSwitch	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneSetRing	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneSetStatusMessages	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneSetVolume	3.0	3.0 and later	Tapi.h	Coredll.lib	1
phoneShutdown	3.0	3.0 and later	Tapi.h	Coredll.lib	1
PHONESTATUS	3.0	3.0 and later	Tapi.h		1
PHYSICAL_BASIC_INFORMATION	3.0	3.0 and later	Pkfuncs.h		0
pIoctl_Register_DataCollector	3.0	3.0 and later			0
pIoctl_Send_DataCollector	3.0	3.0 and later			0
PlaySound	2.0	2.0 and later	Mmsystem.h	Wavelib.lib	1
pLogProcessCreate	2.10	2.10 and later			0
pLogProcessDelete	2.10	2.10 and later			0
pLogThreadCreate	2.10	2.10 and later			0
pLogThreadDelete	2.10	2.10 and later			0
pLogThreadSwitch	2.10	2.10 and later			0
pOEMCertifyModule	2.10	2.10 and later			0
pOEMCertifyModuleInit	2.10	2.10 and later			0
POINT	1.0	1.0 and later	Windef.h		1
POINTS	1.0	1.0 and later	Windef.h		1
POINTSTOPOINT	1.0	1.0 and later	Winuser.h		1
Polygon	1.0	1.0 and later	Wingdi.h	Mgdraw.lib	1
Polyline	1.0	1.0 and later	Wingdi.h	Mgdraw.lib	1
PopEntryList	1.0	1.0 and later	Ntcompat.h		0
PostKeybdMessage	2.0	2.0 and later	Winuser.h	Kbdui.lib	1
PostMessage	1.0	1.0 and later	Winuser.h	Msgque.lib	1
PostQuitMessage	1.0	1.0 and later	Winuser.h	Msgque.lib	1
PostThreadMessage	1.0	1.0 and later	Winuser.h	Coredll.lib, Msgque.lib	1
POWER_DESCR	1.0	1.0 and later			1
pQueryPerformanceCounter	2.10	2.10 and later			0
pQueryPerformanceFrequency	2.10	2.10 and later			0
pReadRegistryFromOEM	2.10	2.10 and later			0
PRIMARYLANGID	1.0	1.0 and later	Winnt.h		1
PRINTDLG	2.0	2.0 and 2.01	Commdlg.h		1
PrintDlg	2.0	2.0 and 2.01	Commdlg.h	Commdlg.lib	1
PrinterClose	1.0	1.0 and later			1
PrinterOpen	1.0	1.0 and later			1
PrinterSend	1.0	1.0 and later			1
PrintHookProc	2.0	2.0 and later	Commdlg.h		1
Process32First	2.0	2.0 and later	Tlhelp32.h		1
Process32Next	2.0	2.0 and later	Tlhelp32.h		1
PROCESS_INFORMATION	1.0	1.0 and later	Winbase.h		1
