name	hdr	cited-pid	twin-path	twin-pid	status	diffs
XRScrollEventType	include/XamlRuntime.h	ee503585	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee503585(v=winembedded.60).html		no-print-in-twin	
XRStretch	include/XamlRuntime.h	ee501819	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501819(v=winembedded.60).html		no-print-in-twin	
XRStyleSimulations	include/XamlRuntime.h	ee501839	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501839.html		no-print-in-twin	
XRSweepDirection	include/XamlRuntime.h	ee502478	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502478(v=winembedded.60).html		no-print-in-twin	
XRTextAlignment	include/XamlRuntime.h	ee502747	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502747(v=winembedded.60).html		no-print-in-twin	
XRTextDecorationType	include/XamlRuntime.h	ee502711	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502711(v=winembedded.60).html		no-print-in-twin	
XRTextWrapping	include/XamlRuntime.h	ee501505	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501505(v=winembedded.60).html		no-print-in-twin	
XRThreeState	include/XamlRuntime.h	ee501855	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee501855(v=winembedded.60).html		no-print-in-twin	
XRVerticalAlignment	include/XamlRuntime.h	ee502425	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502425(v=winembedded.60).html		no-print-in-twin	
XRVisibility	include/XamlRuntime.h	ee502426	/home/user/wince-docs-corpus/docs/mslearn/windows-embedded-ce-6.0/ee502426(v=winembedded.60).html		no-print-in-twin	
