# header	name	page	status	detail
include/Sapi.h	SPFILEMODE		no-pageid	
include/Sapi.h	SPGRAMMARSTATE		no-pageid	
include/Sapi.h	SPGRAMMARWORDTYPE		no-pageid	
include/Sapi.h	SPLEXICONTYPE		no-pageid	
include/Sapi.h	SPLOADOPTIONS		no-pageid	
include/Sapi.h	SPPARTOFSPEECH		no-pageid	
include/Sapi.h	SPPHRASERNG		no-pageid	
include/Sapi.h	SPPROPSRC		no-pageid	
include/Sapi.h	SPRECOEVENTFLAGS		no-pageid	
include/Sapi.h	SPRESULTTYPE		no-pageid	
include/Sapi.h	SPRECOSTATE		no-pageid	
include/Sapi.h	SPRULEINFOOPT		no-pageid	
include/Sapi.h	SPRULESTATE		no-pageid	
include/Sapi.h	SPRUNSTATE		no-pageid	
include/Sapi.h	SPWORDTYPE		no-pageid	
include/Sapi.h	SPSTREAMFORMAT		no-pageid	
include/Sapi.h	SPTRANSITIONTYPE		no-pageid	
include/Sapi.h	SPVACTIONS		no-pageid	
include/Sapi.h	SPVALUETYPE		no-pageid	
include/Sapi.h	SPVESACTIONS		no-pageid	
include/Sapi.h	SPVFEATURE		no-pageid	
include/Sapi.h	SPVISEMES		no-pageid	
include/Sapi.h	SPVLIMITS		no-pageid	
include/Sapi.h	SPVPRIORITY		no-pageid	
include/Sapi.h	SPVSKIPTYPE		no-pageid	
include/Sapi.h	SPSTREAMFORMATTYPE		no-pageid	
include/Sapi.h	SPWORDINFOOPT		no-pageid	
include/Sapi.h	SPWORDPRONOUNCEABLE		no-pageid	
include/Sapi.h	SPAUDIOSTATE		no-pageid	
include/Sapi.h	SPDISPLAYATTRIBUTES		no-pageid	
include/Settingsapi.h	PHSetting	ee499871	no-print-on-page	
include/Settingsapi.h	PHVolumeSetting	ee500378	no-print-on-page	
include/Settingsapi.h	PHActiveVolumeMode	ee501527	no-print-on-page	
include/Settingsapi.h	AuthenticationResult_e	ee501567	no-print-on-page	
include/Shobjidl.h	SHGNO		no-pageid	
include/Sms.h	BROADCAST_PROVIDER_SPECIFIC_GEOGRAPHICAL_SCOPE	ee496874	no-print-on-page	
include/Sms.h	SMS_ADDRESS_TYPE	ee497250	no-print-on-page	
include/Sms.h	PROVIDER_SPECIFIC_REPLACE_OPTION	ee497352	no-print-on-page	
include/Sms.h	SMS_DATA_ENCODING	ee497445	no-print-on-page	
include/Sms.h	WDP_PROVIDER_SPECIFIC_PORT_ADDRESSING	ee497655	no-print-on-page	
include/Sms.h	PROVIDER_SPECIFIC_MESSAGE_CLASS	ee497683	no-print-on-page	
include/Sms.h	NOTIFICATION_PROVIDER_SPECIFIC_INDICATOR_TYPE	ee498093	no-print-on-page	
include/Sms.h	WCMP_PROVIDER_SPECIFIC_MESSAGE_TYPE	ee498229	no-print-on-page	
include/Sms.h	NOTIFICATION_PROVIDER_SPECIFIC_MSG_WAITING_TYPE	ee498285	no-print-on-page	
include/Tsp.h	CALLER_ID_OPTIONS	ee497030	no-print-on-page	
include/Upnpdevapi.h	UPNPCB_ID	aa451143	match	
include/Urlmon.h	BINDF	aa452098	match	
include/Urlmon.h	PI_FLAGS	ms918833	match	
include/Urlmon.h	BINDINFO_OPTIONS	aa452101	match	
include/Urlmon.h	MONIKERPROPERTY	ms918826	match	
include/Urlmon.h	URL_ENCODING	ms918867	match	
include/Urlmon.h	PUAF	ms918841	match	
include/Urlmon.h	SZM_FLAGS	ms918860	match	
include/Urlmon.h	URLTEMPLATE	ms918875	match	
include/Urlmon.h	ZAFLAGS	ms918890	match	
include/Urlmon.h	PSUACTION	ms918840	match	
include/Urlmon.h	BINDSTRING	aa452103	match	
include/Urlmon.h	PARSEACTION	ms918832	match	
include/Urlmon.h	QUERYOPTION	ms918843	match	
include/Urlmon.h	URLZONE	ms918876	match	
include/Urlmon.h	URLZONEREG	ms918877	match	
include/Urlmon.h	BINDINFOF	aa452100	match	
include/Urlmon.h	BINDVERB	aa452104	match	
include/Urlmon.h	BSCF	aa452105	match	
include/Urlmon.h	BINDSTATUS	aa452102	annotated-deviation	hdr=BINDSTATUS_FINDINGRESOURCE,BINDSTATUS_CONNECTING,BINDSTATUS_REDIRECTING,BINDSTATUS_BEGINDOWNLOADDATA,BINDSTATUS_DOWNLOADINGDATA,BINDSTATUS_ENDDOWNLOADDATA,BINDSTATUS_BEGINDOWNLOADCOMPONENTS,BINDSTATUS_INSTALLINGCOMPONENTS,BINDSTATUS_ENDDOWNLOADCOMPONENTS,BINDSTATUS_USINGCACHEDCOPY,BINDSTATUS_SENDINGREQUEST,BINDSTATUS_CLASSIDAVAILABLE,BINDSTATUS_MIMETYPEAVAILABLE,BINDSTATUS_CACHEFILENAMEAVAILABLE,BINDSTATUS_BEGINSYNCOPERATION,BINDSTATUS_ENDSYNCOPERATION,BINDSTATUS_BEGINUPLOADDATA,BINDSTATUS_UPLOADINGDATA,BINDSTATUS_ENDUPLOADINGDATA,BINDSTATUS_PROTOCOLCLASSID,BINDSTATUS_ENCODING,BINDSTATUS_VERFIEDMIMETYPEAVAILABLE,BINDSTATUS_CLASSINSTALLLOCATION,BINDSTATUS_DECODING,BINDSTATUS_LOADINGMIMEHANDLER,BINDSTATUS_CONTENTDISPOSITIONATTACH,BINDSTATUS_FILTERREPORTMIMETYPE,BINDSTATUS_CLSIDCANINSTANTIATE,BINDSTATUS_IUNKNOWNAVAILABLE,BINDSTATUS_DIRECTBIND,BINDSTATUS_RAWMIMETYPE,BINDSTATUS_PROXYDETECTING,BINDSTATUS_ACCEPTRANGES,BINDSTATUS_COOKIE_SENT,BINDSTATUS_COMPACT_POLICY_RECEIVED,BINDSTATUS_COOKIE_SUPPRESSED,BINDSTATUS_COOKIE_STATE_UNKNOWN,BINDSTATUS_COOKIE_STATE_ACCEPT,BINDSTATUS_COOKIE_STATE_REJECT,BINDSTATUS_COOKIE_STATE_PROMPT,BINDSTATUS_COOKIE_STATE_LEASH,BINDSTATUS_COOKIE_STATE_DOWNGRADE,BINDSTATUS_POLICY_HREF,BINDSTATUS_P3P_HEADER,BINDSTATUS_PERSISTENT_COOKIE_RECEIVED,BINDSTATUS_SESSION_COOKIE_RECEIVED,BINDSTATUS_SESSION_COOKIES_ALLOWED,BINDSTATUS_CACHECONTROL,BINDSTATUS_SIZEAVAILABLE page=BINDSTATUS_FINDINGRESOURCE,BINDSTATUS_CONNECTING,BINDSTATUS_REDIRECTING,BINDSTATUS_BEGINDOWNLOADDATA,BINDSTATUS_DOWNLOADINGDATA,BINDSTATUS_ENDDOWNLOADDATA,BINDSTATUS_BEGINDOWNLOADCOMPONENTS,BINDSTATUS_INSTALLINGCOMPONENTS,BINDSTATUS_ENDDOWNLOADCOMPONENTS,BINDSTATUS_USINGCACHEDCOPY,BINDSTATUS_SENDINGREQUEST,BINDSTATUS_CLASSIDAVAILABLE,BINDSTATUS_MIMETYPEAVAILABLE,BINDSTATUS_CACHEFILENAMEAVAILABLE,BINDSTATUS_BEGINSYNCOPERATION,BINDSTATUS_ENDSYNCOPERATION,BINDSTATUS_BEGINUPLOADDATA,BINDSTATUS_UPLOADINGDATA,BINDSTATUS_ENDUPLOADINGDATA,BINDSTATUS_PROTOCOLCLASSID,BINDSTATUS_ENCODING,BINDSTATUS_VERFIEDMIMETYPEAVAILABLE,BINDSTATUS_CLASSINSTALLLOCATION,BINDSTATUS_DECODING,BINDSTATUS_LOADINGMIMEHANDLER,BINDSTATUS_CONTENTDISPOSITIONATTACH,BINDSTATUS_FILTERREPORTMIMETYPE,BINDSTATUS_CLSIDCANINSTANTIATE,BINDSTATUS_IUNKNOWNAVAILABLE,BINDSTATUS_DIRECTBIND,BINDSTATUS_RAWMIMETYPE,BINDSTATUS_PROXYDETECTING,BINDSTATUS_ACCEPTRANGES,BINDSTATUS_COOKIE_SENT,BINDSTATUS_COMPACT_POLICY_RECEIVED,BINDSTATUS_COOKIE_SUPPRESSED,BINDSTATUS_COOKIE_STATE_UNKNOWN,BINDSTATUS_COOKIE_STATE_ACCEPT,BINDSTATUS_COOKIE_STATE_REJECT,BINDSTATUS_COOKIE_STATE_PROMPT,BINDSTATUS_COOKIE_STATE_LEASH,BINDSTATUS_COOKIE_STATE_PROMPT,BINDSTATUS_COOKIE_STATE_DOWNGRADE,BINDSTATUS_POLICY_HREF,BINDSTATUS_P3P_HEADER,BINDSTATUS_PERSISTENT_COOKIE_RECEIVED,BINDSTATUS_SESSION_COOKIE_RECEIVED,BINDSTATUS_SESSION_COOKIES_ALLOWED,BINDSTATUS_CACHECONTROL,BINDSTATUS_SIZEAVAILABLE
include/Usp10.h	SCRIPT_JUSTIFY	ms906270	match	
include/Voipmanager.h	VoIPCallEvent	ms912597	match	
include/Voipmanager.h	VoIPCallStatus	ms912598	match	
include/Voipmanager.h	VoIPCallType	ms912599	match	
include/Voipmanager.h	VoIPSystemEvent	ms912606	match	
include/Voipmanager.h	VoIPProgressTone	ms912604	match	
