id	title	min_ce	versions	header	lib	os
wcesdkrMonitorFromWindow	MonitorFromWindow	4.0	4.0 and later	Winuser.h	User32.lib	Windows CE OS
wcesdkrNETRESOURCE_str	NETRESOURCE	2.0	2.0 and later	Winnetwk.h		Windows CE OS
wcesdkrNotifyAddrChange	NotifyAddrChange	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	Windows CE OS
wcesdkrNotifyRouteChange	NotifyRouteChange	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	Windows CE OS
wcesdkrOUTPUT_DEBUG_STRING_INFO_str	OUTPUT_DEBUG_STRING_INFO	2.0	2.0 and later	Winbase.h		Windows CE OS
wcesdkrOpenProcess	OpenProcess	2.0	2.0 and later	Winbase.h		Windows CE OS
wcesdkrOutputDebugString	OutputDebugString	1.0	1.0 and later	Winbase.h	Nk.lib	Windows CE OS
wcesdkrPEG_USER_NOTIFICATION	PEG_USER_NOTIFICATION	1.0	1.0 and later	Rapi.h		Windows CE OS
wcesdkrPHONEINITIALIZEEXPARAMS	PHONEINITIALIZEEXPARAMS	3.0	3.0 and later	Tapi.h		Windows CE OS
wcesdkrPHONEMESSAGE	PHONEMESSAGE	3.0	3.0 and later	Tapi.h		Windows CE OS
wcesdkrPHONESTATUS	PHONESTATUS	3.0	3.0 and later	Tapi.h		Windows CE OS
wcesdkrPROCESSENTRY32_str	PROCESSENTRY32	1.0	1.0 and later	Tlhelp32.h		Windows CE OS
wcesdkrPROCESS_INFORMATION_str	PROCESS_INFORMATION	1.0	1.0 and later	Winbase.h		Windows CE OS
wcesdkrPlaySound	PlaySound	2.0	2.0 and later	Mmsystem.h	Wavelib.lib	Windows CE OS
wcesdkrProcess32First	Process32First	2.0	2.0 and later	Tlhelp32.h		Windows CE OS
wcesdkrProcess32Next	Process32Next	2.0	2.0 and later	Tlhelp32.h		Windows CE OS
wcesdkrPurgeComm	PurgeComm	1.0	1.0 and later	Winbase.h	Serdev.lib	Windows CE OS
wcesdkrRASCONNSTATE_str	RASCONNSTATE	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrRASCONNSTATUS_str	RASCONNSTATUS	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrRASCONN_str	RASCONN	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrRASDEVINFO_str	RASDEVINFO	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrRASDIALPARAMS_str	RASDIALPARAMS	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrRASENTRYNAME_str	RASENTRYNAME	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrRASENTRY_str	RASENTRY	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrRASIPADDR_str	RASIPADDR	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrRASPPPIP	RASPPPIP	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrRASPROJECTION	RASPROJECTION	1.0	1.0 and later	Ras.h		Windows CE OS
wcesdkrREMOTE_NAME_INFO_str	REMOTE_NAME_INFO	2.0	2.0 and later	Winnetwk.h		Windows CE OS
wcesdkrRasDeleteEntry	RasDeleteEntry	3.0	3.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasDial	RasDial	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasEnumConnections	RasEnumConnections	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasEnumDevices	RasEnumDevices	3.0	3.0 and later	Ras.h	Ppp.lib	Windows CE OS
wcesdkrRasEnumEntries	RasEnumEntries	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasGetConnectStatus	RasGetConnectStatus	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasGetEntryDialParams	RasGetEntryDialParams	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasGetEntryProperties	RasGetEntryProperties	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasGetLinkStatistics	RasGetLinkStatistics	3.0	3.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasGetProjectionInfo	RasGetProjectionInfo	3.0	3.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasHangUp	RasHangUp	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasRenameEntry	RasRenameEntry	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasSetEntryDialParams	RasSetEntryDialParams	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasSetEntryProperties	RasSetEntryProperties	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrRasValidateEntryName	RasValidateEntryName	1.0	1.0 and later	Ras.h, Afdfunc.h	Ppp.lib	Windows CE OS
wcesdkrReadClient	ReadClient	3.0	3.0 and later	httpext.h	Httpextn.lib	Windows CE OS
wcesdkrReadProcessMemory	ReadProcessMemory	2.0	2.0 and later	Winbase.h	Coredll.lib, Nk.lib	Windows CE OS
wcesdkrReleaseCapture	ReleaseCapture	1.0	1.0 and later	Winuser.h	Foregnd.lib	Windows CE OS
wcesdkrResumeThread	ResumeThread	1.0	1.0 and later	Winbase.h	Coredll.lib	Windows CE OS
wcesdkrSHELLFILECHANGEFUNC_t	SHELLFILECHANGEFUNC_t	2.10	2.10 and later	Extfile.h		Windows CE OS
wcesdkrSOCKADDR	sockaddr	1.0	1.0 and later	Winsock.h		Windows CE OS
wcesdkrSOCKADDR_IN	SOCKADDR_IN	1.0	1.0 and later	Winsock.h		Windows CE OS
wcesdkrSYSTEMTIME_str	SYSTEMTIME	1.0	1.0 and later	Winbase.h		Windows CE OS
wcesdkrSendARP	SendARP	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	Windows CE OS
wcesdkrServerSupportFunction	ServerSupportFunction	3.0	3.0 and later	Httpfilt.h	Httpfilt.lib	Windows CE OS
wcesdkrSetAbortProc	SetAbortProc	2.0	2.0 and later	Wingdi.h	Mgprint.lib	Windows CE OS
wcesdkrSetCapture	SetCapture	1.0	1.0 and later	Winuser.h	Foregnd.lib	Windows CE OS
wcesdkrSetCommBreak	SetCommBreak	1.0	1.0 and later	Winbase.h	Serdev.lib	Windows CE OS
wcesdkrSetCommMask	SetCommMask	1.0	1.0 and later	Winbase.h	Serdev.lib	Windows CE OS
wcesdkrSetCommState	SetCommState	1.0	1.0 and later	Winbase.h	Serdev.lib	Windows CE OS
wcesdkrSetCommTimeouts	SetCommTimeouts	1.0	1.0 and later	Winbase.h	Serdev.lib	Windows CE OS
wcesdkrSetCursor	SetCursor	1.0	1.0 and later	Winuser.h	Cursor.lib, Mcursor.lib	Windows CE OS
wcesdkrSetCursorPos	SetCursorPos	1.0	1.0 and later	Winuser.h	Cursor.lib, Mcursor.lib	Windows CE OS
wcesdkrSetFileTime	SetFileTime	1.0	1.0 and later	Winbase.h		Windows CE OS
wcesdkrSetHeader	SetHeader	3.0	3.0 and later	Httpfilt.h	Httpfilt.lib	Windows CE OS
wcesdkrSetIfEntry	SetIfEntry	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	Windows CE OS
wcesdkrSetIpForwardEntry	SetIpForwardEntry	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	Windows CE OS
wcesdkrSetIpNetEntry	SetIpNetEntry	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	Windows CE OS
wcesdkrSetIpStatistics	SetIpStatistics	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	Windows CE OS
wcesdkrSetIpTTL	SetIpTTL	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	Windows CE OS
wcesdkrSetLocalTime	SetLocalTime	1.0	1.0 and later	Winbase.h		Windows CE OS
wcesdkrSetTcpEntry	SetTcpEntry	3.0	3.0 and later	Iphlpapi.h	Iphlpapi.lib	Windows CE OS
wcesdkrSetThreadContext	SetThreadContext	2.0	2.0 and later	Winbase.h	Nk.lib	Windows CE OS
wcesdkrSetThreadPriority	SetThreadPriority	1.0	1.0 and later	Winbase.h	Coredll.lib, Nk.lib	Windows CE OS
wcesdkrSetTimeZoneInformation	SetTimeZoneInformation	1.0	1.0 and later	Winbase.h		Windows CE OS
wcesdkrSetupComm	SetupComm	1.0	1.0 and later	Winbase.h	Serdev.lib	Windows CE OS
wcesdkrShowCursor	ShowCursor	1.0	1.0 and later	Winuser.h	Cursor.lib, Mcursor.lib	Windows CE OS
wcesdkrSleep	Sleep	1.0	1.0 and later	Winbase.h	Coredll.lib	Windows CE OS
wcesdkrSndPlaySound	sndPlaySound	2.0	2.0 and later	Mmsystem.h	Wavelib.lib	Windows CE OS
wcesdkrSnmpExtensionClose	SnmpExtensionClose	3.0	3.0 and later	Snmp.h	Snmp.lib	Windows CE OS
wcesdkrSnmpExtensionInit	SnmpExtensionInit	3.0	3.0 and later	Snmp.h	Snmp.lib	Windows CE OS
wcesdkrSnmpExtensionInitEx	SnmpExtensionInitEx	3.0	3.0 and later	Snmp.h	Snmp.lib	Windows CE OS
wcesdkrSnmpExtensionQuery	SnmpExtensionQuery	3.0	3.0 and later	Snmp.h	Snmp.lib	Windows CE OS
wcesdkrSnmpExtensionQueryEx	SnmpExtensionQueryEx	3.0	3.0 and later	Snmp.h	Snmp.lib	Windows CE OS
wcesdkrSnmpExtensionTrap	SnmpExtensionTrap	3.0	3.0 and later	Snmp.h	Snmp.lib	Windows CE OS
wcesdkrSnmpSvcGetUptime	SnmpSvcGetUptime	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpSvcSetLogLevel	SnmpSvcSetLogLevel	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpSvcSetLogType	SnmpSvcSetLogType	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpTfxClose	SnmpTfxClose	3.0	3.0 and later	Snmpexts.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpTfxOpen	SnmpTfxOpen	3.0	3.0 and later	Snmpexts.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpTfxQuery	SnmpTfxQuery	3.0	3.0 and later	Snmpexts.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilAsnAnyCpy	SnmpUtilAsnAnyCpy	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilAsnAnyFree	SnmpUtilAsnAnyFree	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilDbgPrint	SnmpUtilDbgPrint	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilIdsToA	SnmpUtilIdsToA	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilIdsToW	SnmpUtilIdsToW	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilMemAlloc	SnmpUtilMemAlloc	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilMemFree	SnmpUtilMemFree	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilMemReAlloc	SnmpUtilMemReAlloc	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOctetsCmp	SnmpUtilOctetsCmp	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOctetsCpy	SnmpUtilOctetsCpy	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOctetsFree	SnmpUtilOctetsFree	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOctetsNCmp	SnmpUtilOctetsNCmp	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOidAppend	SnmpUtilOidAppend	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOidCmp	SnmpUtilOidCmp	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOidCpy	SnmpUtilOidCpy	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOidFree	SnmpUtilOidFree	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOidNCmp	SnmpUtilOidNCmp	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOidToA	SnmpUtilOidToA	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilOidToW	SnmpUtilOidToW	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilPrintToStrAsnAny	SnmpUtilPrintToStrAsnAny	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilVarBindCpy	SnmpUtilVarBindCpy	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpUtilVarBindListCpy	SnmpUtilVarBindListCpy	3.0	3.0 and later	Snmp.h	Snmpapi.lib	Windows CE OS
wcesdkrSnmpVarBind	SnmpVarBind	3.0	3.0 and later	Snmp.h		Windows CE OS
wcesdkrSnmpVarBindList	SnmpVarBindList	3.0	3.0 and later	Snmp.h		Windows CE OS
wcesdkrStartDoc	StartDoc	2.0	2.0 and later	Wingdi.h	Mgprint.lib	Windows CE OS
