# name	action	page	note
EnumSystemCodePagesW	drop	ms905062	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
EnumUILanguagesW	drop	ms905092	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
EnumWindows	drop	aa453051	Requirements name ?
EqualRect	drop	aa453055	Requirements name ?, Rectapi.lib, Rectapi.lib.; placed in rectapi-doc.def
EscapeCommFunction	drop	ms885213	Requirements name ?, Serdev.lib, Serdev.lib.; placed in serdev-doc.def
ExtractIconExW	drop	aa453065	Requirements name ?
FindClosePartition	drop	ms889632	Requirements name Storeapi.lib; placed in storeapi-doc.def
FindCloseStore	drop	ms889642	Requirements name Storeapi.lib; placed in storeapi-doc.def
FindFirstDevice	drop	aa447798	Requirements name ?
FindFirstPartition	drop	ms889689	Requirements name Storeapi.lib; placed in storeapi-doc.def
FindFirstStore	drop	ms889696	Requirements name Storeapi.lib; placed in storeapi-doc.def
FindNextDevice	drop	aa447800	Requirements name ?
FindNextPartition	drop	ms889968	Requirements name Storeapi.lib; placed in storeapi-doc.def
FindNextStore	drop	ms890093	Requirements name Storeapi.lib; placed in storeapi-doc.def
FindWindowW	drop	aa453070	Requirements name ?
FoldStringW	drop	ms905209	Requirements name Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
FormatMessageW	drop	ms885599	Requirements name Fmtmsg.lib, Fmtmsg.lib.; placed in fmtmsg-doc.def
FormatPartition	drop	ms890426	Requirements name Storeapi.lib; placed in storeapi-doc.def
FormatPartitionEx	drop	ms890434	Requirements name Storeapi.lib; placed in storeapi-doc.def
FormatStore	drop	ms890450	Requirements name Storeapi.lib; placed in storeapi-doc.def
FreeLibraryAndExitThread	confirm	ms885602	Requirements name Coredll (Coredll.dll.)
Gesture	drop	ee502547(v=winembedded.60)	Requirements name TouchGesture.lib; placed in touchgesture-doc.def
GetACP	drop	ms905215	Requirements name ?, Coreloc.lib, Coreloc.lib.; placed in coreloc-doc.def
GetActiveWindow	drop	ms929203	Requirements name ?, Caret.lib; placed in caret-doc.def
GetAnimateMessageInfo	drop	ee500295(v=winembedded.60)	Requirements name ?
