# name	page_ids	header	status	note
IMR_DOCUMENTFEED	ms906175	Imm.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_AG_CLOSE_AUDIO	ms891134	Btagpub.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_AG_CLOSE_CONTROL	ms891136	Btagpub.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_AG_GET_MIC_VOL	ms891138	Btagpub.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_AG_GET_SPEAKER_VOL	ms891142	Btagpub.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_AG_OPEN_AUDIO	ms891145	Btagpub.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_AG_OPEN_CONTROL	ms891147	Btagpub.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_AG_SET_MIC_VOL	ms891150	Btagpub.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_AG_SET_SPEAKER_VOL	ms891153	Btagpub.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_CDROM_DISC_INFO	ms901375	Cdioctl.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_CDROM_EJECT_MEDIA	ms901376	Cdioctl.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_CDROM_GET_SENSE_DATA	ms901377	Cdioctl.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_CDROM_ISSUE_INQUIRY	ms901378	Cdioctl.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_CDROM_READ_SG	ms901381	Cdioctl.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_CDROM_TEST_UNIT_READY	ms901386	Cdioctl.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_DISK_DEVICE_INFO	ms901388	Diskio.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_DISK_FORMAT_MEDIA	ms901389	Diskio.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_DISK_GETINFO	ms901390	Diskio.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_DISK_GETNAME	ms901391	Diskio.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_DISK_GET_STORAGEID	ms901392	Diskio.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_DISK_READ	ms901393	Diskio.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_DISK_SECURE_WIPE	aa448310	Diskio.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_DISK_SETINFO	ms901394	Diskio.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_DISK_WRITE	ms901395	Diskio.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SERIAL_DISABLE_IR	ms901422	Pegdser.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SERIAL_ENABLE_IR	ms901423	Pegdser.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SERIAL_GET_DCB	ms901425	Pegdser.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SERIAL_SET_DCB	ms901434	Pegdser.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SERVICE_PRX_SIGNAL_FILTER	ms891164	Webproxy.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_CANCEL_BLOCKING	ms901443	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_EJECT	ms901445	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_GET_ATTRIBUTE	ms901446	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_GET_STATE	ms901447	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_IS_ABSENT	ms901448	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_IS_PRESENT	ms901449	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_POWER	ms901650	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_SET_ATTRIBUTE	ms901722	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_SET_PROTOCOL	ms901833	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_SWALLOW	ms901842	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_SMARTCARD_TRANSMIT	ms901848	Winsmcrd.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_ATTACH_BUFFER	ms901860	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_CREATE_LOCAL_PLUG	ms901875	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_DELETE_LOCAL_PLUG	ms901884	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_DEREFERENCE_REMOTE_PLUG	ms901896	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_DETACH_BUFFER	ms901909	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_GET_MEDIA_SIZE	ms901940	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_GET_REMOTE_PLUG_HANDLE	ms902087	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_LOCATE_REMOTE_PLUG	ms902094	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_QUERY_BUFFER_STATE	ms902096	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_SET_MEDIA_SIZE	ms902097	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
IOCTL_STREAM_START_RECV_SESSION	ms902098	Avc_stream.h	held	no official value published; R1 check not yet run (held per policy v3 §5)
